code|miuk
c4f1|1.09魚
c4f2|3.08語
c4f3|4.09御
c4h2|3.15海
c4i1|1.12齊
c4q1|2.09麻
c4q2|3.35馬
c4q3|4.40禡
c4r1|2.10陽
c4r2|3.36養
c4r3|4.41漾
c4r4|5.18藥
c4t1|2.14清
c4t2|3.40靜
c4t3|4.45勁
c4t4|5.22昔
c4u1|2.16蒸
c4u2|3.42拯
c4u3|4.47證
c4u4|5.24職
c4v1|2.18尤
c4v2|3.44有
c4v3|4.49宥
c4w1|2.20幽
c4w2|3.46黝
c4w3|4.51幼
c5d1|1.05支
c5d2|3.04紙
c5d3|4.05寘
c5e1|1.06脂
c5e2|3.05旨
c5e3|4.06至
c5i3|4.13祭
c5k1|1.17眞
c5k2|3.17準
c5k3|4.21震
c5k4|5.05質
c5n1|2.02仙
c5n2|3.28獮
c5n3|4.33線
c5n4|5.17薛
c5o1|2.04宵
c5o2|3.30小
c5o3|4.35笑
c5x1|2.21侵
c5x2|3.47寑
c5x3|4.52沁
c5x4|5.26緝
c5z1|2.24鹽
c5z2|3.50琰
c5z3|4.55豔
c5z4|5.29葉
c6d1|1.05支
c6d2|3.04紙
c6d3|4.05寘
c6e1|1.06脂
c6e2|3.05旨
c6e3|4.06至
c6i3|4.13祭
c6k1|1.18諄
c6k2|3.17準
c6k3|4.21震
c6k4|5.05質
c6l1|1.19臻
c6l2|3.19隱
c6l3|4.21震
c6l4|5.07櫛
c6n1|2.02仙
c6n2|3.28獮
c6n3|4.33線
c6n4|5.17薛
c6o1|2.04宵
c6o2|3.30小
c6o3|4.35笑
c6x1|2.21侵
c6x2|3.47寑
c6x3|4.52沁
c6x4|5.26緝
c6z1|2.24鹽
c6z2|3.50琰
c6z3|4.55豔
c6z4|5.29葉
c7i1|1.12齊
c7i2|3.11薺
c7i3|4.12霽
c7n1|2.01先
c7n2|3.27銑
c7n3|4.33線
c7n4|5.16屑
c7o1|2.03蕭
c7o2|3.29篠
c7o3|4.34嘯
c7t1|2.15青
c7t2|3.41迥
c7t3|4.46徑
c7t4|5.23錫
c7z1|2.25添
c7z2|3.51忝
c7z3|4.56𣕊
c7z4|5.30怗
o1h3|4.14泰
o1i1|1.15灰
o1i2|3.14賄
o1i3|4.18隊
o1k1|1.23魂
o1k2|3.21混
o1k3|4.26慁
o1k4|5.11沒
o1m1|1.26桓
o1m2|3.24緩
o1m3|4.29換
o1m4|5.13末
o1p1|2.08戈
o1p2|3.34果
o1p3|4.39過
o1r1|2.11唐
o1r2|3.37蕩
o1r3|4.42宕
o1r4|5.19鐸
o1u1|2.17登
o1u4|5.25德
o2h3|4.17夬
o2i1|1.14皆
o2i3|4.16怪
o2j1|1.13佳
o2j2|3.12蟹
o2j3|4.15卦
o2m1|1.27刪
o2m2|3.25潸
o2m3|4.30諫
o2m4|5.15鎋
o2n1|1.28山
o2n2|3.26產
o2n3|4.31襇
o2n4|5.14黠
o2q1|2.09麻
o2q2|3.35馬
o2q3|4.40禡
o2s1|2.12庚
o2s2|3.38梗
o2s3|4.43映
o2s4|5.20陌
o2t1|2.13耕
o2t3|4.44諍
o2t4|5.21麥
o3e1|1.08微
o3e2|3.07尾
o3e3|4.08未
o3h3|4.20廢
o3k1|1.20文
o3k2|3.18吻
o3k3|4.23問
o3k4|5.08物
o3m1|1.22元
o3m2|3.20阮
o3m3|4.25願
o3m4|5.10月
o3p1|2.08戈
o3p2|3.35馬
o3s1|2.12庚
o3s2|3.38梗
o3s3|4.43映
o3s4|5.20陌
o3z1|2.29凡
o3z2|3.55范
o3z3|4.60梵
o3z4|5.34乏
o4g1|1.10虞
o4g2|3.09麌
o4g3|4.10遇
o4r1|2.10陽
o4r2|3.36養
o4r3|4.41漾
o4r4|5.18藥
o4t1|2.14清
o4t2|3.40靜
o4t3|4.45勁
o4t4|5.22昔
o4u4|5.24職
o5d1|1.05支
o5d2|3.04紙
o5d3|4.05寘
o5e1|1.06脂
o5e2|3.05旨
o5e3|4.06至
o5i3|4.13祭
o5k1|1.18諄
o5k2|3.17準
o5k3|4.22稕
o5k4|5.06術
o5n1|2.02仙
o5n2|3.28獮
o5n3|4.33線
o5n4|5.17薛
o6d1|1.05支
o6d2|3.04紙
o6d3|4.05寘
o6e1|1.06脂
o6e2|3.05旨
o6e3|4.06至
o6i3|4.13祭
o6k1|1.17眞
o6k2|3.16軫
o6k4|5.05質
o6n1|2.02仙
o6n2|3.28獮
o6n3|4.33線
o6n4|5.17薛
o7i1|1.12齊
o7i3|4.12霽
o7n1|2.01先
o7n2|3.27銑
o7n3|4.32霰
o7n4|5.16屑
o7t1|2.15青
o7t2|3.41迥
o7t4|5.23錫
