id|glyph|ann
10.6|匑|謹敬之皃又音穹
11.1|融|和也朗也≆說文曰炊气上出也又姓丗本云古天子祝融之後以戎切四
11.2|肜|祭名又敕林切
11.3|瀜|沖瀜大水皃
12.1|雄|雄雌也亦姓舜友有雄陶羽弓切二
12.2|熊|獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊冝僚又漢複姓左傳楚大夫熊率且比
13.1|瞢|目不明莫中切六
13.2|夢|≆說文曰不明也又武仲切
13.3|𨞯|邑名在[魯/曹]郡
13.4|懜|慙也國語云君使臣懜
13.5|𦫰|𦫰𦫰醜皃
13.6|𧲎|獸似豕目在耳出崐崘
14.1|穹|髙也去宫切七
14.2|𢞏|憂也
14.3|焪|乾也
14.4|芎|芎藭香草根曰芎藭苗曰蘪蕪似蛇牀
14.5|𦵡|上同
14.6|匑|謹敬之皃
14.7|𥳎|𥳎籠也又去龍切
15.1|窮|窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三
15.2|藭|芎藭
15.3|𥨪|羿所封國
16.1|馮|馮翊郡名又姓畢公髙之伸食采於馮城因而命氏出杜陵乃長樂房戎切七
16.2|堸|蟲室
16.3|汎|浮也又孚劔切
16.4|芃|草盛也又音蓬
16.5|𨝭|姬姓之國
16.6|渢|𢎞大聲也
16.7|梵|木得風皃又防泛切
17.1|風|敎也佚也告也聲也河圖曰風者天地之使元命包曰隂陽怒而爲風方戎切七
17.2|飌|古文
17.3|楓|木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝髙三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄
17.4|猦|猦[母/𤝕]狀如猿逢人則叩頭小打便死得風還活出異物志
17.5|偑|地名
17.6|檒|檒梵聲也
17.7|𧆉|竹名出南海
18.1|豐|大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷[空/隆]切八
18.2|酆|邑名亦姓左傳有狄相酆舒
18.3|蘴|蕪菁苗也
18.4|灃|水名在咸陽
18.5|寷|大屋
18.6|麷|煑麥
18.7|㒥|偓㒥仙人
18.8|㠦|山名
19.1|充|美也塞也行也滿也昌終切七
19.2|珫|珫耳玉名詩傳云充耳謂之瑱字俗從玉
19.3|茺|茺蔚草也
19.4|㤝|心動
19.5|䘪|䘪襌衣也
19.6|𪎽|黃色又音統
19.7|㳘|水聲
20.1|隆|盛也豐也大也力中切六
20.2|癃|病也亦作𤸇
20.3|𪔳|鼓聲俗作𪔴
20.4|窿|穹隆天勢俗加穴
20.5|霳|豐隆雷師俗加雨
20.6|㚅|多㚅礼天
21.1|空|空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四
21.2|箜|箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也
21.3|崆|崆峒
21.4|椌|器物朴也又丘江切
21.5|硿|硿青色[-/石]也
21.6|䅝|稻稈
21.7|悾|悾悾信也慤也
21.8|埪|土埪龕也
21.9|倥|倥侗
21.10|涳|涳濛小雨又口江切
21.11|鵼|怪鳥出字統
21.12|𦱇|𦱇心草也
21.13|𢃐|衣袂
21.14|𧌆|蟬脫𧌆皮
22.1|公|通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何[𦵧/藐]公父歜公賔庚公思展公鉏極公[申/甲]叔子費宰公山弗櫌公甲叔公巫召伯衞有公文要戰國䇿齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公愼氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙録有大中大夫公帥式子夏門人齊人公羊髙作春秋傳列女傳有公乗之姒墨子魯有公輸班衞大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今髙平人衞大夫公南文子魯有公荆皎衞大夫公子荆之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱髙宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後吕氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰别傳有渤海公族進階衞大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世郷秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今髙平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衞有𢈔公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衞有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉丗本有大公叔頴又有公紀氏衞有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三
22.2|功|功績也≆說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作功
22.3|工|官也又工巧也
22.4|疘|文字集略云脱疘下部病也
22.5|蚣|蜈蚣蟲
22.6|玒|王名又音江
22.7|釭|車釭≆說文曰車轂中鐵也又古雙切
22.8|魟|䱑魟江蟲形似蟹可食又音烘
22.9|攻|攻擊
22.10|㓚|銍穫也
22.11|愩|憒也
22.12|碽|擊聲
22.13|篢|篢笠方言
23.1|蒙|覆也奄也爾雅釋草曰蒙王女也莫紅切二十[六/七]
23.2|冡|≆說文覆也
23.3|濛|涳濛細雨
23.4|𩦺|驢子曰𩦺
23.5|艨|艨艟戰船又武用切
23.6|䑃|大皃
23.7|矇|矇瞽
23.8|饛|盛食滿皃
23.9|䰒|馬垂鬣也
23.10|檬|似槐[葉/華]黃
23.11|𨢊|麴生衣皃
23.12|䴿|上同
23.13|𨣘|亦上同
23.14|鸏|鸏䴀鳥也
23.15|幪|覆也蓋衣也又幪縠
23.16|罞|爾雅曰麋罟謂之罞
23.17|𢄐|≆說文云蓋衣也又莫弄切
23.18|髳|爾雅釋詁曰覭髳茀離也
23.19|蠓|蠛蠓似蚊又莫孔切
23.20|𦿏|草可爲帚
23.21|雺|天氣下地不應曰雺又莫侯切
23.22|霿|並上同
23.23|霚|並上同
23.24|朦|朦朧月下
23.25|䀄|器滿
23.26|懜|心悶闇也
23.27|霥|小雨
24.1|籠|西京雜記曰漢制天子以象牙爲火籠盧紅切又力董切二十七
24.2|豅|大谷
24.3|㰍|≆說文云房室之䟽也亦作櫳
24.4|朧|朦朧
24.5|𡃡|大聲
24.6|龓|[-/馬]龓頭
24.7|䪊|上同
24.8|瀧|瀧涷沾漬≆說文曰雨瀧瀧也
24.9|聾|耳聾左傳云不聽五聲之和曰聾釋名曰聾籠也如在蒙籠之內不可察也
24.10|𨏠|軸頭
24.11|礱|磨也
24.12|䆍|禾病
24.13|𪚗|上同
24.14|嚨|喉嚨
24.15|蘢|蘢古草名又音龍
24.16|櫳|檻也養獸所也
24.17|𤮨|上同
24.18|巃|巃嵸山皃嵸祖紅切又音竉揔
24.19|襱|襱裙
24.20|𧙥|上同
24.21|瓏|玲瓏玉聲
24.22|曨|日欲出也
24.23|鸗|鳥名
24.24|𩟭|𩟭餅
24.25|蠪|蠪蛭如狐九尾虎爪音如小兒食人一名䗁蠪又爾雅曰蠪朾螘郭璞云赤駁蚍蜉
24.26|㟅|崆㟅山皃
24.27|屸|山形
25.1|洪|大也亦姓共工氏之後本姓共氏後改爲洪氏户公切二十二
25.2|鉷|弩牙
25.3|訌|潰也詩曰蟊賊內訌
25.4|紅|色也又姓
25.5|虹|螮蝀也又古巷切
25.6|仜|身肥大也
25.7|鴻|詩傳云大曰鴻小曰鴈又姓左傳衞大夫鴻聊魋
25.8|葒|水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從廾
25.9|葓|上同
25.10|谼|大壑又谼谷寺在相州
25.11|䉺|陳赤米也
25.12|烘|字林云燎也又呼紅切
25.13|洚|≆說文曰水不遵道一曰下也又戸冬下江二切
25.14|渱|潰渱水沸湧也
25.15|𨹁|從𨹁山名在雲南
25.16|魟|魟白魚又音烘
25.17|䧆|坑也
25.18|䪦|大聲
25.19|𦏺|飛聲
25.20|䫹|大風
25.21|䂫|石聲
25.22|𨾊|鳥肥大𨾊唯然
26.1|叢|聚也徂紅切五
26.2|藂|俗
26.3|䕺|草䕺生皃
26.4|潨|水會也
26.5|𥵫|籠𥵫取魚器俗
27.1|翁|老稱也亦鳥頸毛又姓漢書貨殖傳有翁伯販脂而傾縣邑烏紅切八
27.2|螉|蠮螉蟲名細𦝫𧒒也
27.3|䱵|魚名
27.4|蓊|蓊鬱草木盛皃又烏桶切
27.5|䈵|竹盛皃
27.6|䩺|吳人靴靿曰䩺
27.7|㮬|水㮬子果名出南州
27.8|𩔚|頸毛也
28.1|怱|速也倉紅切十五
28.2|忩|俗
28.3|葱|葷菜
28.4|楤|尖頭擔也
28.5|𨍉|轞車載囚
28.6|聦|聞也明也察也聽也殷仲堪父患耳聦聞牀下蟻動謂之牛鬬出晉書
28.7|繱|色青黃[文/又]細絹
28.8|𤧚|石似玉也
28.9|騘|馬青白雜色
28.10|䗓|蜻蜓淮南子曰蝦蟆爲鶉水蠆爲䗓
28.11|囪|竈突
28.12|𨣭|𨣭𨢊濁酒
28.13|鍯|大鑿平木器
28.14|㷓|煴也又子孔切
28.15|𢉛|屋[-/階]中會又子孔切
29.1|通|達也三禮圖曰通天冠一名高山冠上之所服也亦州名本漢宕渠縣內有地萬餘頃因名爲萬州後魏以萬州居四達之路改爲通州又姓出姓苑他紅切九
29.2|蓪|蓪草藥名中有小孔通氣
29.3|侗|大也
29.4|恫|痛也
29.5|痌|上同
29.6|曈|曈曨欲明之皃
29.7|俑|俑偶人又音勇
29.8|𧳆|獸名似豕出泰山又音同
29.9|𨀜|走皃
30.1|葼|木細枝也子紅切二十一
30.2|鬷|釜屬又姓左傳鄭大夫鬷明
30.3|嵕|九嵕山名
30.4|猣|犬生三子
30.5|豵|豕生三子
30.6|鯼|石首魚名
30.7|椶|椶櫚一名蒲葵
30.8|騣|馬鬣
30.9|𩮀|上同
30.10|䗥|螉䗥蟲名
30.11|嵸|巃嵸又作孔切
30.12|艐|書傳云三艐國名≆說文云船著沙不行也
30.13|蝬|三蝬蛤屬出臨海異物志
30.14|堫|種也
30.15|𥓻|種也
30.16|翪|聳翅上[-/下]皃
30.17|緵|縷也又作弄切
30.18|㚇|飛而斂足又子貢切
30.19|㣭|數也
30.20|稯|禾束
30.21|鬉|毛亂
31.1|蓬|草名亦州名周割巴州之伏虞郡於此置蓬州因蓬山而名之薄紅切十
31.2|𥭗|車軬
31.3|篷|織竹夾箬覆舟也
31.4|髼|髼䯳髪亂皃
31.5|蜂|蟲名出蒼頡篇又音峯
31.6|芃|芃芃草盛皃又音馮
31.7|𧚋|爾雅曰困衱𧚋亦作袶又音降
31.8|韸|鼓聲
31.9|䮾|充塞皃又音[龍/瀧]
31.10|𩖛|風皃又步留切
32.1|烘|火皃呼東切又音紅六
32.2|叿|叿叿市人聲
32.3|魟|河魚似鼈
32.4|谾|谷空皃出字林
32.5|𩐠|𩐠䪦大聲
32.6|𩗄|大風
33.1|㟅|崆㟅山皃五東切又魚江切一
34.1|檧|小籠蘇公切又先孔切三
34.2|憽|惺憽了慧人也
34.3|㬝|[㬝/𤾥]㬝白皃出聲譜
35.1|冬|四時之末尸子曰冬爲信北方爲冬冬終也又姓前燕慕容皝左司馬冬壽都宗切七
35.2|𠔙|古文
35.3|苳|草名
35.4|䳉|䳉鳥好入水食似鳧形小
35.5|笗|竹名
35.6|𩂓|雨皃
35.7|𧲴|獸如豹有角
36.1|彤|赤也丹飾也亦姓彤伯爲成王宗[枝/伯]徒冬切二十二
36.2|疼|痛也
36.3|佟|姓也北燕録有遼東佟萬以文章知名
36.4|炵|火[威/盛]皃又他冬切
36.5|䳋|鳥名䳋渠狀如山雞黑身赤足出山海經也
36.6|鼕|鼓聲
36.7|𢥞|𢥞𢥞憂也出楚詞
36.8|𢾮|擊空聲
36.9|爞|旱熱
36.10|㤏|惶也
36.11|痋|動病
36.12|䂈|剌矛
36.13|鉵|大鉏
36.14|𧹝|赤色
36.15|𩦶|黑虎
36.16|浵|水名亦水皃
36.17|䶱|龜名又音終
36.18|𠩁|楚云深屋
36.19|鉖|鈞鉖
36.20|𨜳|古國名
36.21|㠽|戎云幡也
36.22|赨|赤蟲
37.1|賨|戎税≆說文曰南蠻賦也藏宗切十一
37.2|琮|≆說文云琮瑞玉大八寸似車釭周禮曰以黃琮禮地
37.3|悰|慮也一曰樂也
37.4|潨|小水入大水也又徂紅職戎二切
37.5|淙|水聲又士江切
37.6|慒|謀也又似由切
37.7|鬃|髙髻又士江切
37.8|㼻|甖屬又士江切
37.9|孮|[-/爲]族盛孮郷
37.10|誴|謀誴樂也
37.11|𢃏|帛𢃏又布名
38.1|農|田農也≆說文作農耕也亦官名漢書曰治粟內史秦官也景帝更名大司農又姓風俗通云神農之後又羌複姓有蘇農氏奴冬切十二
38.2|䢉|上同
38.3|辳|古文
38.4|𨑋|籀文
38.5|𩟊|䭢𩟊強食䭢女耕切
38.6|噥|多言不中
38.7|𩅽|露多
38.8|憹|㦀憹悦也
38.9|㺜|多毛犬也又乃刀切
38.10|儂|我也
38.11|𧗕|≆說文曰腫血也
38.12|膿|上同
39.1|攻|治也作也擊也伐也古冬切二
39.2|釭|燈也又音江
40.1|䃔|䃔䃧石落[-/聲]戸冬切四
40.2|洚|≆說文曰水不遵道一曰下也孟子曰洚水警子
40.3|㗢|歌也又胡宋徒送二切
40.4|𩘎|大風
41.1|䃧|力冬切三
41.2|䥢|[䥢/⊟鼓釜]鼓聲
41.3|𣫣|聲也
42.1|宗|衆也本也尊也亦官名漢書宗正秦官也掌親屬亦姓周郷宗伯之後出南陽又漢複姓二氏前漢有宗伯鳳南燕録有宗正謙善卜相作冬切二
42.2|倧|上古神人
43.1|鬆|髼鬆髮亂皃私宗切三
43.2|䯳|上同
44.1|炵|火色他冬切一
45.1|鍾|當也酒器也又量名左傳曰釜十則鍾亦姓出潁川又漢複姓有鍾離氏丗本云與秦同祖其後因封爲姓職容切十八
45.2|鐘|樂器也吕氏春秋云黃帝命伶倫鑄寸二器丗本曰垂作鐘
45.3|蚣|䘀螽蟲
45.4|忪|心動皃
45.5|䇗|長節竹也
45.6|蹱|躘蹱小兒行皃
45.7|彸|征彸行皃
45.8|衳|小褌也
45.9|伀|志及衆也
45.10|橦|字㨾云本音同今借爲木橦字
45.11|籦|籠籦竹名廣志云可爲笛
45.12|妐|夫之兄也
45.13|㕬|衆口也
45.14|𧢸|舉角也
45.15|炂|熱化也
45.16|𦬘|草名
45.17|𨳗|門外開𨳗
45.18|鈆|鐵鈆
46.1|龍|通也和也寵也鱗蟲之長也易曰雲從龍又姓舜納言龍之後力鍾切九
46.2|𪚝|圭爲龍文
46.3|躘|躘蹱
46.4|鸗|鳥名
46.5|驡|野馬
46.6|𪚠|巫也
46.7|籠|𥳎籠竹車軬亦籦籠竹又力東力董二切
46.8|𦪽|小船上安蓋者
46.9|蘢|蘢古草
47.1|舂|丗本曰雍父作舂吕氏春秋曰赤兾作舂書容切六
47.2|𧐍|蜙蝑俗呼𧐍𧑓
47.3|摏|撞也
47.4|蹖|蹋也
47.5|𪄻|𪇆𪄻鳥名
47.6|憃|愚也
48.1|松|木名玄中記曰松脂淪入地千歳爲[伏/茯]苓亦州[-/名]舜竄三苗於三危河關之西南羌是也後魏末始統其城改置州焉祥容切四
48.2|㮤|古文[淞/凇]
48.3|淞|凍落皃又先恭切
48.4|訟|爭獄又徐用切
49.1|𧘂|當也向也突也≆說文曰通道也尺容切十一
49.2|衝|上同
49.3|罿|[縱/網]也又音童
49.4|憧|憧憧往來皃
49.5|䡴|陷陣車
49.6|艟|艨艟戰船
49.7|潼|河潼又音同
49.8|褈|褈褣衣也
49.9|𠟍|剌也
49.10|𠝤|同上
49.11|䂌|短矛也
50.1|容|盛也儀也受也爾雅曰容謂之防郭璞云形如今牀頭小曲屏風唱䠶者所以自防隱司馬法云軍容不入國國容不入軍是也又州名又姓入凱仲容之後禮記有徐大夫容居餘封切三十五
50.2|溶|水皃又音勇
50.3|滽|水名出冝蘇山
50.4|庸|常也用也功也和也次也易也又姓漢有庸光
50.5|𦤘|古文
50.6|𧴄|獸似牛領有肉也
50.7|㺎|並上同
50.8|𤛑|並上同
50.9|墉|城也垣也
50.10|鎔|鎔鑄
50.11|鏞|大鐘
50.12|銿|上同≆說文與鐘同
50.13|鄘|國名
50.14|傭|傭賃又丑凶切
50.15|𪅟|𪅟𪆫鳥名似鴨雞足也
50.16|㼸|甖也
50.17|𤮇|魚名又音慵
50.18|鱅|魚名又音慵
50.19|蓉|芙蓉
50.20|䗤|䖺䗤色如黃蛇有羽
50.21|傛|傛華縣也又漢書婦官有傛華
50.22|褣|𧝎褣
50.23|搈|不安
50.24|瑢|瑽瑢佩玉行也
50.25|䈶|䈶䇯又矢
50.26|嵱|山名在容州山下有〾鬼市
50.27|頌|形頌又似用切
50.28|㝐|㝐盛也≆說文云古文容
50.29|䡆|車行皃
50.30|㟾|㟾山在建州
50.31|𨲟|餝𨲟
50.32|𪃾|𪃾鸀
50.33|槦|㮧槦木中箭笴
50.34|㣑|重影一曰䙹㣑
50.35|𢧳|𢧳戣兵器
51.1|封|大也國也厚也爵也亦姓望出渤海本姜姓炎帝之後封鉅爲黃帝師又望出河南後魏官氏志云是賁氏後改爲封氏府容切五
51.2|𡉚|古文
51.3|犎|野牛
51.4|葑|菜名詩云采葑采菲
51.5|崶|山名一名龍門山在封州大魚上化爲龍上不得㸃額流血水[謂/謂]丹色也
52.1|胷|膺也亦作匈𦙄許容切十
52.2|凶|凶禍
52.3|𣧑|古文
52.4|銎|懼也又斤斧柄孔又曲恭切
52.5|洶|水勢也
52.6|恟|懼也
52.7|𧧗|訟也
52.8|兇|惡也
52.9|訩|衆語
52.10|匈|匈奴
53.1|顒|仰也爾雅云顒顒邛邛君之德也≆說文云大頭也魚容切四
53.2|𩤛|上同見廣蒼
53.3|鰅|魚名≆說文曰皮有文出樂浪又音隅
53.4|喁|噞喁
54.1|邕|≆說文曰四方有水自邕成池者是也於容切十六
54.2|雍|和也與邕略同又雍奴縣名在幽州水經云四方有水曰雍不流曰奴亦姓左傳有雍糾又於用切
54.3|噰|鳥聲
54.4|嗈|上同
54.5|郺|郺𨑊多皃
54.6|澭|水名在宋
54.7|灉|上同爾雅曰水自河出爲灉
54.8|癰|癰癤
54.9|罋|汲器
54.10|廱|辟廱天子敎宫
54.11|饔|熟食
54.12|壅|塞又音擁
54.13|雝|爾雅曰䳭鴒雝渠
54.14|𪄉|上同
54.15|㻾|玉器
54.16|𧴗|獸似猨也
55.1|醲|厚酒女容切八
55.2|𨑊|郺𨑊
55.3|濃|厚也
55.4|襛|襛華又衣厚皃又而容切
55.5|穠|花木厚又而容切
55.6|檂|木名
55.7|𪒬|𪒒𪒬
55.8|𨲳|多也
56.1|重|複也疊也直容切又直勇直用二切六
56.2|穜|先種晚熟曰穜
56.3|緟|≆說文云增益也
56.4|褈|複也
56.5|䳯|䳯𪄹鳥名
56.6|蝩|蠶晚生者
57.1|從|就也又姓漢有將軍從公何氏姓苑云今東莞人疾容切又即容七恭秦用三切三
57.2|从|古文≆說文曰相聽也
57.3|𩀰|方言云南楚人謂雞
58.1|蹱|躘蹱丑凶切七
58.2|傭|均也直也又音容
58.3|𦟛|上同
58.4|𨙦|馬不行也
58.5|䝑|土精如㹠在地下也
58.6|𨤩|地名又直容切
58.7|𪒒|深穴中𪒒黑也
59.1|逢|值也迎也符容切八
59.2|縫|紩又音俸
59.3|漨|水名
59.4|䩼|鼓聲
59.5|𥎌|𥎌𥎂矛也
59.6|夆|掣[-/曳]也又敷恭切
59.7|𥛝|大黃負山神能動天地氣昔孔甲遇之
59.8|捀|≆說文曰奉也又符用切
60.1|峯|山峯也敷容切十六
60.2|鋒|劔刃鋒也
60.3|丰|丰茸美好≆說文本作𡴀草盛𡴀[-/𡴀]也從生上下達也
60.4|𡴀|上同
60.5|𢓱|使也
60.6|妦|好也
60.7|蠭|≆說文曰螫人飛蟲也孝經援神契曰蠭䘍垂芒爲其毒在後
60.8|蜂|上同
60.9|𧒒|古文
60.10|蘴|菜名又音豐
60.11|桻|木上
60.12|㷭|㷭火夜曰㷭晝曰燧
60.13|烽|上同
60.14|莑|草牙始生出音譜
60.15|仹|仙人
60.16|㸼|㸼牛
61.1|縱|縱横也即容切又子用切九
61.2|𣯨|毾㲪也
61.3|蹤|蹤跡
61.4|䡮|車跡
